,Gender,Seeking,Age,Pictures,Profile Visits,Kisses,Fans,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,Country,City,Location,distance,isFlirtstar,isHighlighted,isInfluencer,isMobile,isNew,isOnline,isVip,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,Verified,lastOnlineDate,lastOnlineTime,User ID,Under 25
36,F,M,21,10,17655,468,0,True,True,True,CH,Langenthal,Kriens,138.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,1,2015-04-26T10:22:03Z,1430043723.0,553157bec76da13a558b4bb3,1
37,F,M,21,11,47000,1469,82,True,False,False,DE,"Lörrach (Baden-Württemberg, Germany)",Lörrach,144.0,0,0,0,1,0,0,0,2,False,False,True,True,False,False,1,2015-04-07T21:42:20Z,1428442940.0,54df3f03180ba0542a8b47fd,1
38,F,M,19,8,12754,368,2,True,True,True,CH,Olten,Aarau,144.0,0,0,0,1,0,1,0,4,True,True,True,False,True,False,0,2015-04-08T15:00:57Z,1428505257.0,548c21261a0ba0a85a8b4866,1
39,F,M,19,3,7694,143,14,True,True,True,CH,Oberwil (BL),Basel,135.0,0,0,0,1,0,0,0,4,True,True,True,False,False,False,0,2015-04-26T01:17:35Z,1430011055.0,550b3d02c66da1485a8b477d,1
40,F,M,25,20,4372,134,16,True,False,False,CH,Kriens,Luzern,139.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,2015-04-26T10:33:15Z,1430044395.0,53c84ea3cb6da1dd7e8b4d55,0
41,F,M,22,5,9700,124,0,True,False,False,CH,Wallisellen,Baltenswil,183.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,2015-04-08T10:30:12Z,1428489012.0,54b245ed160ba0a9278b4a68,1
42,F,M,20,3,10531,360,1,True,False,False,CH,Luzern,Luzern,141.0,0,0,0,0,0,0,0,1,False,False,True,False,False,False,1,2015-04-26T10:04:56Z,1430042696.0,5415813d150ba0d05b8b4e38,1
43,F,M,19,8,16458,486,15,True,False,True,CH,Niederhünigen,Konolfingen,0.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,2015-04-26T11:33:56Z,1430048036.0,552a69160a6ea1e18f8b4dd4,1
44,F,M,20,5,264,6,0,False,True,False,CH,La Chaux-de-Fonds,La Chaux-de-Fonds,0.0,0,0,0,1,0,0,1,1,True,False,False,False,False,False,1,2015-04-26T09:28:25Z,1430040505.0,5534e4a40b6ea1ff618b4f0d,1
45,F,M,25,15,18475,1065,23,True,True,False,CH,Hirschthal,Schöftland,139.0,0,0,0,1,0,0,1,4,False,True,True,True,True,False,1,2015-04-25T21:30:49Z,1429997449.0,552b6669c46da13a788b4796,0
46,F,M,22,5,7045,316,0,True,False,True,DE,Grenzach-Wyhlen,Grenzach-Wyhlen,139.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,1,2015-04-24T20:24:47Z,1429907087.0,54c81d650b6ea1749c8b4bf6,1
47,F,M,25,4,52884,1717,2,True,True,True,DE,Stuttgart,Laichingen,318.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,2015-04-06T15:59:11Z,1428335951.0,54ea86211a0ba0da638b474a,0
48,F,M,22,12,37740,1016,41,True,False,True,CH,Sursee,Sursee,133.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,2015-04-26T15:02:47Z,1430060567.0,53afe904170ba0505c8b4688,1
49,F,M,20,4,6730,297,2,False,True,False,CH,Prangins,Gland,29.9,0,0,0,1,0,1,0,1,False,True,False,False,False,False,0,2015-05-03T09:23:44Z,1430645024.0,537f7e26cb6da1571c8b8024,1
50,F,M,20,11,11120,216,0,True,True,False,DE,Laufenburg (Baden),Laufenburg (Baden),161.0,0,0,0,1,0,0,0,2,False,False,True,False,False,False,0,2015-04-03T19:07:41Z,1428088061.0,54119f6d160ba008118b503f,1
51,F,M,24,4,18395,328,0,False,False,True,CH,Zurich,Zürich,0.0,0,0,0,0,0,0,0,1,False,False,True,False,False,False,0,2015-04-26T10:32:36Z,1430044356.0,551e85620a6ea1268d8b4d54,1
52,F,M,24,6,6756,81,0,True,False,True,CH,Basel,Basel,136.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,1,2015-04-26T11:04:45Z,1430046285.0,54a4506f1b0ba049278b4780,1
53,F,M,21,4,10976,158,26,True,False,False,CH,Attelwil,Attelwil,135.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,2015-04-26T11:47:04Z,1430048824.0,53137ba0160ba04b168b4d32,1
54,F,M,21,13,2567,97,1,True,True,True,CH,Stadel bei Niederglatt,Zürich (Langstrasse),172.0,0,0,0,0,0,0,0,1,False,False,True,False,False,False,0,2015-03-21T19:56:34Z,1426967794.0,53efddcbcb6da1de998b45fc,1
55,F,M,22,5,1309,89,0,True,True,False,CH,Luzern,Luzern,140.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,1,2015-04-08T15:28:46Z,1428506926.0,551c20e1066ea1d35c8b4708,1
56,F,M,26,1,1448,37,0,False,False,True,DE,Stuttgart,Stuttgart,309.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,2015-04-06T15:56:28Z,1428335788.0,550f075a1c0ba0642e8b49df,0
57,F,M,23,19,31448,754,31,False,False,True,CH,Schüpfen,Schüpfen,81.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,1,2015-04-25T15:54:14Z,1429977254.0,53ac3bcd1a0ba0cc6d8b4d11,1
58,F,M,20,8,7979,138,4,True,True,True,DE,Hohentengen am Hochrhein,Hohentengen am Hochrhein,179.0,0,0,0,1,0,0,0,2,False,False,True,False,False,False,1,2015-04-25T22:03:56Z,1429999436.0,50f72bce6f37f3d37e000058,1
59,F,M,24,12,12629,548,0,True,False,False,DE,Köln,Köln,498.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,2015-04-06T14:56:52Z,1428332212.0,551dcef8190ba0dc0c8b4da1,1
60,F,M,19,4,48980,2358,28,True,False,True,CH,Würenlingen,Würenlingen,167.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,2015-04-26T11:04:52Z,1430046292.0,5525ad66140ba01c5b8b496d,1
61,F,M,22,3,54332,1196,0,True,True,False,CH,Baden,Remetschwil,162.0,0,0,0,1,0,1,0,0,False,False,False,False,False,False,1,2015-04-26T10:58:12Z,1430045892.0,50e69181150ba0763200000e,1
62,F,M,20,28,33528,3679,32,False,True,False,CH,Basel,Basel,138.0,0,0,0,1,0,1,0,5,False,True,True,False,True,False,1,2015-04-08T15:19:24Z,1428506364.0,55038f65c96da15c998b4a4c,1
63,F,M,22,11,6495,292,0,True,False,False,CH,Berna,Berna,77.0,0,0,0,1,0,1,0,4,True,True,True,True,False,False,0,2015-04-06T15:10:37Z,1428333037.0,54aa8e181c0ba069108b48df,1
64,F,M,23,30,11989,272,0,True,False,True,CH,Burgdorf,Burgdorf,95.6,0,0,0,1,0,0,1,1,False,False,True,False,False,False,0,2015-04-26T08:04:51Z,1430035491.0,552a48dde86da193318b45df,1
65,F,M,19,5,6012,132,0,False,False,True,CH,Nuolen,Wädenswil,174.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,2015-04-06T14:29:14Z,1428330554.0,54e84423076ea1dc568b4d83,1
66,F,M,20,13,2844,35,6,True,False,True,CH,Rothrist,Rothrist,131.0,0,0,0,1,0,0,0,2,False,False,True,True,False,False,0,2015-04-19T21:33:57Z,1429479237.0,5529c16a1c0ba00e0a8b4b08,1
67,F,M,20,1,27174,1306,0,True,False,False,CH,Zurich,Geroldswil,168.0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,1,2015-04-26T11:50:23Z,1430049023.0,54c9c9abc86da1c82f8b4f44,1
68,F,M,25,11,4709,203,10,True,True,True,CH,Berne,Belp,76.1,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,2015-04-24T16:00:56Z,1429891256.0,54b1ddbf076ea17b518b4816,0
69,F,M,21,21,20642,530,15,True,False,False,CH,Seftigen,Thun,80.1,0,0,0,1,0,0,0,3,False,True,True,False,True,False,0,2015-04-08T13:59:53Z,1428501593.0,55104155076ea1f38c8b46a3,1
70,F,M,23,7,18216,301,0,True,True,True,CH,Aarau,Schafisheim,149.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,2015-04-26T11:20:43Z,1430047243.0,51fe675f1b0ba0d228fd8a65,1
71,F,M,21,15,30950,1173,4,False,False,True,DE,Tübingen,Tübingen,286.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,1,2015-04-06T14:55:00Z,1428332100.0,53fa0a5be86da14d868b4937,1
