User ID Number,Gender,Seeking,Age,Profile Visits,Kisses,Fans,Country Name,Country Cordinates,User Country,City Cordinates,Last Known City Location,Location,lastOnlineDate,lastOnlineTime,User ID,Age Category
2189,F,M,22,1059,63,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,Helferskirchen,2015-04-06T16:11:39Z,1428336699,551fa486c66da13b088b4c1a,Early Twenties
2190,F,M,24,543,36,0,France,"46.2276∞ N, 2.2137∞ E",FR,"45.7640∞ N, 4.8357∞ E",Lyon,Lens-Lestang,2015-03-23T15:43:22Z,1427125402,550de4d5e76da1e8848b4582,Early Twenties
2191,F,M,23,723,17,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.8065∞ N, 7.1620∞ E",Fribourg,Gurmels,2015-04-06T09:04:26Z,1428311066,550de52eea6da1866f8b4a05,Early Twenties
2192,F,M,21,960,63,0,Italy,"41.8719∞ N, 12.5674∞ E",IT,"45.4637∞ N, 9.1885∞ E",Milano,Torino,2015-04-05T21:15:59Z,1428268559,550e92e5076ea109618b4b25,Early Twenties
2193,F,M,21,567,8,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,Stuttgart,2015-04-06T14:53:08Z,1428331988,550e90f9e56da1d8738b459b,Early Twenties
2194,F,none,21,1819,51,5,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.3769∞ N, 8.5417∞ E",Zurich,Au ZH,2015-04-26T11:46:03Z,1430048763,550df0251b0ba0df7f8b4a23,Early Twenties
2195,F,M,20,844,11,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.1368∞ N, 7.2468∞ E",Biel,Biel,2015-04-26T11:10:03Z,1430046603,5510947cc96da156528b4db2,Early Twenties
2196,F,M,23,1459,133,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.9480∞ N, 7.4474∞ E",Bern,Urtenen-Sch√∂nb√ºhl,2015-04-06T16:16:24Z,1428336984,550e18531a0ba067328b4d91,Early Twenties
2197,F,M,22,501,39,1,France,"46.2276∞ N, 2.2137∞ E",FR,"45.7640∞ N, 4.8357∞ E",Lyon,Reims,2015-04-06T16:13:38Z,1428336818,550e21fbc86da10c7f8b4a71,Early Twenties
2198,F,M,23,2660,142,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.3904∞ N, 8.0457∞ E",Aarau,Aarau,2015-04-06T13:05:10Z,1428325510,550e37f4140ba08d5f8b470f,Early Twenties
2199,F,M,22,296,5,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,Frankfurt am Main,2015-04-06T15:02:59Z,1428332579,550e7215c66da133138b49d1,Early Twenties
2200,F,M,23,2488,50,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,Frankfurt am Main,2015-04-06T15:55:18Z,1428335718,551ff0dc150ba09b3a8b474e,Early Twenties
2201,F,M,20,1483,60,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,Hennef (Sieg),2015-04-06T14:23:25Z,1428330205,551d1d5fc96da123888b4d6b,Early Twenties
2202,F,M,22,1638,130,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.4312∞ N, 6.9107∞ E",Montreux,Etoy,2015-04-25T14:21:57Z,1429971717,550e7e5a086ea174018b4d08,Early Twenties
2203,F,none,22,2199,59,1,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,Kaiserslautern,2015-04-27T19:27:19Z,1430162839,553d197bc46da180478b471e,Early Twenties
2204,F,M,22,727,75,2,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.4312∞ N, 6.9107∞ E",Montreux,Marly,2015-04-06T12:42:51Z,1428324171,550e8e33160ba0a7078b475e,Early Twenties
